identity_field,identity_value,records
agent_id,AGT0000323,27
agent_id,AGT0000324,34
agent_id,AGT0000325,35
agent_id,AGT0000326,32
agent_id,AGT0000327,38
agent_id,AGT0000328,37
agent_id,AGT0000329,26
agent_id,AGT0000330,24
agent_id,AGT0000331,29
agent_id,AGT0000332,28
agent_id,AGT0000333,24
agent_id,AGT0000334,35
agent_id,AGT0000335,25
agent_id,AGT0000336,28
agent_id,AGT0000337,25
agent_id,AGT0000338,30
agent_id,AGT0000339,35
agent_id,AGT0000340,35
agent_id,AGT0000341,22
agent_id,AGT0000342,26
agent_id,AGT0000343,36
agent_id,AGT0000344,37
agent_id,AGT0000345,30
agent_id,AGT0000346,29
agent_id,AGT0000347,30
agent_id,AGT0000348,19
agent_id,AGT0000349,35
agent_id,AGT0000350,24
agent_id,AGT0000351,30
agent_id,AGT0000352,29
agent_id,AGT0000353,25
agent_id,AGT0000354,32
agent_id,AGT0000355,22
agent_id,AGT0000356,29
agent_id,AGT0000357,30
agent_id,AGT0000358,25
agent_id,AGT0000359,25
agent_id,AGT0000360,28
agent_id,AGT0000361,29
agent_id,AGT0000362,26
agent_id,AGT0000363,24
agent_id,AGT0000364,30
agent_id,AGT0000365,37
agent_id,AGT0000366,27
agent_id,AGT0000367,48
agent_id,AGT0000368,33
agent_id,AGT0000369,38
agent_id,AGT0000370,26
agent_id,AGT0000371,30
agent_id,AGT0000372,31
agent_id,AGT0000373,35
agent_id,AGT0000374,25
agent_id,AGT0000375,32
agent_id,AGT0000376,32
agent_id,AGT0000377,36
agent_id,AGT0000378,33
agent_id,AGT0000379,22
agent_id,AGT0000380,33
agent_id,AGT0000381,33
agent_id,AGT0000382,28
agent_id,AGT0000383,34
agent_id,AGT0000384,33
agent_id,AGT0000385,33
agent_id,AGT0000386,23
agent_id,AGT0000387,31
agent_id,AGT0000388,22
agent_id,AGT0000389,25
agent_id,AGT0000390,32
agent_id,AGT0000391,28
agent_id,AGT0000392,35
agent_id,AGT0000393,27
agent_id,AGT0000394,31
agent_id,AGT0000395,28
agent_id,AGT0000396,31
agent_id,AGT0000397,34
agent_id,AGT0000398,23
agent_id,AGT0000399,32
agent_id,AGT0000400,20
agent_id,AGT0000401,24
agent_id,AGT0000402,27
agent_id,AGT0000403,29
agent_id,AGT0000404,28
agent_id,AGT0000405,28
agent_id,AGT0000406,39
agent_id,AGT0000407,26
agent_id,AGT0000408,37
agent_id,AGT0000409,24
agent_id,AGT0000410,29
agent_id,AGT0000411,27
agent_id,AGT0000412,33
agent_id,AGT0000413,25
agent_id,AGT0000414,30
agent_id,AGT0000415,28
agent_id,AGT0000416,22
agent_id,AGT0000417,23
agent_id,AGT0000418,31
agent_id,AGT0000419,18
agent_id,AGT0000420,32
agent_id,AGT0000421,20
agent_id,AGT0000422,28
agent_id,AGT0000423,31
agent_id,AGT0000424,27
agent_id,AGT0000425,35
agent_id,AGT0000426,32
agent_id,AGT0000427,33
agent_id,AGT0000428,33
agent_id,AGT0000429,24
agent_id,AGT0000430,25
agent_id,AGT0000431,35
agent_id,AGT0000432,26
agent_id,AGT0000433,26
agent_id,AGT0000434,31
agent_id,AGT0000435,42
agent_id,AGT0000436,18
agent_id,AGT0000437,29
agent_id,AGT0000438,27
agent_id,AGT0000439,32
agent_id,AGT0000440,45
agent_id,AGT0000441,21
agent_id,AGT0000442,37
agent_id,AGT0000443,41
agent_id,AGT0000444,22
agent_id,AGT0000445,31
agent_id,AGT0000446,34
agent_id,AGT0000447,26
agent_id,AGT0000448,28
agent_id,AGT0000449,31
agent_id,AGT0000450,26
agent_id,AGT0000451,34
agent_id,AGT0000452,26
agent_id,AGT0000453,28
agent_id,AGT0000454,29
agent_id,AGT0000455,28
agent_id,AGT0000456,40
agent_id,AGT0000457,36
agent_id,AGT0000458,36
agent_id,AGT0000459,39
agent_id,AGT0000460,31
agent_id,AGT0000461,27
agent_id,AGT0000462,28
agent_id,AGT0000463,33
agent_id,AGT0000464,24
agent_id,AGT0000465,24
agent_id,AGT0000466,25
agent_id,AGT0000467,26
agent_id,AGT0000468,32
agent_id,AGT0000469,37
agent_id,AGT0000470,38
agent_id,AGT0000471,29
agent_id,AGT0000472,29
agent_id,AGT0000473,31
agent_id,AGT0000474,42
agent_id,AGT0000475,30
agent_id,AGT0000476,32
agent_id,AGT0000477,36
agent_id,AGT0000478,26
agent_id,AGT0000479,39
agent_id,AGT0000480,32
agent_id,AGT0000481,31
agent_id,AGT0000482,24
agent_id,AGT0000483,31
agent_id,AGT0000484,26
agent_id,AGT0000485,31
agent_id,AGT0000486,33
agent_id,AGT0000487,37
agent_id,AGT0000488,35
agent_id,AGT0000489,34
agent_id,AGT0000490,29
agent_id,AGT0000491,24
agent_id,AGT0000492,31
agent_id,AGT0000493,21
agent_id,AGT0000494,29
agent_id,AGT0000495,25
agent_id,AGT0000496,43
agent_id,AGT0000497,32
agent_id,AGT0000498,28
agent_id,AGT0000499,23
agent_id,AGT0000500,39
agent_id,AGT0000501,26
agent_id,AGT0000502,28
agent_id,AGT0000503,24
agent_id,AGT0000504,29
agent_id,AGT0000505,22
agent_id,AGT0000506,20
agent_id,AGT0000507,31
agent_id,AGT0000508,27
agent_id,AGT0000509,27
agent_id,AGT0000510,24
agent_id,AGT0000511,28
agent_id,AGT0000512,28
agent_id,AGT0000513,34
agent_id,AGT0000514,27
agent_id,AGT0000515,30
agent_id,AGT0000516,38
agent_id,AGT0000517,34
agent_id,AGT0000518,31
agent_id,AGT0000519,32
agent_id,AGT0000520,17
agent_id,AGT0000521,34
agent_id,AGT0000522,30
agent_id,AGT0000523,31
agent_id,AGT0000524,21
agent_id,AGT0000525,34
agent_id,AGT0000526,34
agent_id,AGT0000527,38
agent_id,AGT0000528,27
agent_id,AGT0000529,31
agent_id,AGT0000530,36
agent_id,AGT0000531,43
agent_id,AGT0000532,22
agent_id,AGT0000533,48
agent_id,AGT0000534,33
agent_id,AGT0000535,32
agent_id,AGT0000536,34
agent_id,AGT0000537,29
agent_id,AGT0000538,29
agent_id,AGT0000539,32
agent_id,AGT0000540,46
agent_id,AGT0000541,27
agent_id,AGT0000542,30
agent_id,AGT0000543,45
agent_id,AGT0000544,43
agent_id,AGT0000545,39
agent_id,AGT0000546,38
agent_id,AGT0000547,30
agent_id,AGT0000548,30
agent_id,AGT0000549,25
agent_id,AGT0000550,27
agent_id,AGT0000551,34
agent_id,AGT0000552,20
agent_id,AGT0000553,30
agent_id,AGT0000554,29
agent_id,AGT0000555,41
agent_id,AGT0000556,30
agent_id,AGT0000557,31
agent_id,AGT0000558,25
agent_id,AGT0000559,37
agent_id,AGT0000560,34
agent_id,AGT0000561,37
agent_id,AGT0000562,28
agent_id,AGT0000563,45
agent_id,AGT0000564,26
agent_id,AGT0000565,24
agent_id,AGT0000566,27
agent_id,AGT0000567,24
agent_id,AGT0000568,30
agent_id,AGT0000569,30
agent_id,AGT0000570,35
agent_id,AGT0000571,30
agent_id,AGT0000572,18
agent_id,AGT0000573,26
agent_id,AGT0000574,31
agent_id,AGT0000575,31
agent_id,AGT0000576,36
agent_id,AGT0000577,30
agent_id,AGT0000578,19
agent_id,AGT0000579,33
agent_id,AGT0000580,32
agent_id,AGT0000581,32
agent_id,AGT0000582,31
agent_id,AGT0000583,31
agent_id,AGT0000584,24
agent_id,AGT0000585,29
agent_id,AGT0000586,30
agent_id,AGT0000587,33
agent_id,AGT0000588,26
agent_id,AGT0000589,30
agent_id,AGT0000590,40
agent_id,AGT0000591,33
agent_id,AGT0000592,25
agent_id,AGT0000593,35
agent_id,AGT0000594,30
agent_id,AGT0000595,29
agent_id,AGT0000596,27
agent_id,AGT0000597,37
agent_id,AGT0000598,28
agent_id,AGT0000599,25
agent_id,AGT0000600,19
agent_id,AGT0000601,22
agent_id,AGT0000602,24
agent_id,AGT0000603,35
agent_id,AGT0000604,23
agent_id,AGT0000605,27
agent_id,AGT0000606,27
agent_id,AGT0000607,30
agent_id,AGT0000608,29
agent_id,AGT0000609,40
agent_id,AGT0000610,30
agent_id,AGT0000611,25
agent_id,AGT0000612,24
agent_id,AGT0000613,29
agent_id,AGT0000614,32
agent_id,AGT0000615,32
agent_id,AGT0000616,37
agent_id,AGT0000617,30
agent_id,AGT0000618,34
agent_id,AGT0000619,36
agent_id,AGT0000620,32
agent_id,AGT0000621,38
agent_id,AGT0000622,25
agent_id,AGT0000623,38
agent_id,AGT0000624,34
agent_id,AGT0000625,26
agent_id,AGT0000626,32
agent_id,AGT0000627,32
agent_id,AGT0000628,28
agent_id,AGT0000629,28
agent_id,AGT0000630,28
agent_id,AGT0000631,36
agent_id,AGT0000632,33
agent_id,AGT0000633,29
agent_id,AGT0000634,26
agent_id,AGT0000635,22
agent_id,AGT0000636,25
agent_id,AGT0000637,29
agent_id,AGT0000638,32
agent_id,AGT0000639,31
agent_id,AGT0000640,27
agent_id,AGT0000641,31
agent_id,AGT0000642,23
agent_id,AGT0000643,34
agent_id,AGT0000644,29
agent_id,AGT0000645,24
agent_id,AGT0000646,33
agent_id,AGT0000647,34
agent_id,AGT0000648,29
agent_id,AGT0000649,43
agent_id,AGT0000650,30
agent_id,AGT0000651,25
agent_id,AGT0000652,28
agent_id,AGT0000653,35
agent_id,AGT0000654,21
agent_id,AGT0000655,21
agent_id,AGT0000656,26
agent_id,AGT0000657,28
agent_id,AGT0000658,26
agent_id,AGT0000659,26
agent_id,AGT0000660,32
agent_id,AGT0000661,28
agent_id,AGT0000662,32
agent_id,AGT0000663,27
agent_id,AGT0000664,36
agent_id,AGT0000665,34
agent_id,AGT0000666,31
agent_id,AGT0000667,36
agent_id,AGT0000668,31
agent_id,AGT0000669,28
agent_id,AGT0000670,26
agent_id,AGT0000671,38
agent_id,AGT0000672,21
agent_id,AGT0000673,37
agent_id,AGT0000674,30
agent_id,AGT0000675,20
agent_id,AGT0000676,31
agent_id,AGT0000677,23
agent_id,AGT0000678,29
agent_id,AGT0000679,24
agent_id,AGT0000680,37
agent_id,AGT0000681,28
agent_id,AGT0000682,21
agent_id,AGT0000683,27
agent_id,AGT0000684,26
agent_id,AGT0000685,32
agent_id,AGT0000686,25
agent_id,AGT0000687,26
agent_id,AGT0000688,32
agent_id,AGT0000689,36
agent_id,AGT0000690,37
agent_id,AGT0000691,28
agent_id,AGT0000692,32
agent_id,AGT0000693,31
agent_id,AGT0000694,26
agent_id,AGT0000695,25
agent_id,AGT0000696,25
agent_id,AGT0000697,37
agent_id,AGT0000698,30
agent_id,AGT0000699,32
agent_id,AGT0000700,29
agent_id,AGT0000701,29
agent_id,AGT0000702,24
agent_id,AGT0000703,32
agent_id,AGT0000704,22
agent_id,AGT0000705,29
agent_id,AGT0000706,31
agent_id,AGT0000707,25
agent_id,AGT0000708,39
agent_id,AGT0000709,33
agent_id,AGT0000710,27
agent_id,AGT0000711,35
agent_id,AGT0000712,26
agent_id,AGT0000713,28
agent_id,AGT0000714,30
agent_id,AGT0000715,34
agent_id,AGT0000716,30
agent_id,AGT0000717,28
agent_id,AGT0000718,26
agent_id,AGT0000719,35
agent_id,AGT0000720,28
agent_id,AGT0000721,29
agent_id,AGT0000722,28
agent_id,AGT0000723,24
agent_id,AGT0000724,41
agent_id,AGT0000725,20
agent_id,AGT0000726,30
agent_id,AGT0000727,36
agent_id,AGT0000728,34
agent_id,AGT0000729,32
agent_id,AGT0000730,37
agent_id,AGT0000731,24
agent_id,AGT0000732,28
agent_id,AGT0000733,32
agent_id,AGT0000734,34
agent_id,AGT0000735,30
agent_id,AGT0000736,20
agent_id,AGT0000737,27
agent_id,AGT0000738,40
agent_id,AGT0000739,39
agent_id,AGT0000740,35
agent_id,AGT0000741,23
agent_id,AGT0000742,26
agent_id,AGT0000743,27
agent_id,AGT0000744,39
agent_id,AGT0000745,25
agent_id,AGT0000746,43
agent_id,AGT0000747,26
agent_id,AGT0000748,23
agent_id,AGT0000749,24
agent_id,AGT0000750,31
agent_id,AGT0000751,20
agent_id,AGT0000752,24
agent_id,AGT0000753,27
agent_id,AGT0000754,28
agent_id,AGT0000755,27
agent_id,AGT0000756,33
agent_id,AGT0000757,22
agent_id,AGT0000758,37
agent_id,AGT0000759,28
agent_id,AGT0000760,31
agent_id,AGT0000761,21
agent_id,AGT0000762,34
agent_id,AGT0000763,14
agent_id,AGT0000764,37
agent_id,AGT0000765,23
agent_id,AGT0000766,35
agent_id,AGT0000767,24
agent_id,AGT0000768,38
agent_id,AGT0000769,35
agent_id,AGT0000770,28
agent_id,AGT0000771,37
agent_id,AGT0000772,32
agent_id,AGT0000773,34
agent_id,AGT0000774,25
agent_id,AGT0000775,21
agent_id,AGT0000776,31
agent_id,AGT0000777,36
agent_id,AGT0000778,18
agent_id,AGT0000779,28
agent_id,AGT0000780,32
agent_id,AGT0000781,30
agent_id,AGT0000782,31
agent_id,AGT0000783,33
agent_id,AGT0000784,33
agent_id,AGT0000785,40
agent_id,AGT0000786,22
agent_id,AGT0000787,22
agent_id,AGT0000788,30
agent_id,AGT0000789,32
agent_id,AGT0000790,39
agent_id,AGT0000791,23
agent_id,AGT0000792,22
agent_id,AGT0000793,28
agent_id,AGT0000794,22
agent_id,AGT0000795,25
agent_id,AGT0000796,37
agent_id,AGT0000797,28
agent_id,AGT0000798,28
agent_id,AGT0000799,38
agent_id,AGT0000800,35
agent_id,AGT0000801,39
agent_id,AGT0000802,32
agent_id,AGT0000803,32
agent_id,AGT0000804,33
agent_id,AGT0000805,22
agent_id,AGT0000806,34
agent_id,AGT0000807,33
agent_id,AGT0000808,30
agent_id,AGT0000809,28
agent_id,AGT0000810,41
agent_id,AGT0000811,19
agent_id,AGT0000812,29
agent_id,AGT0000813,29
agent_id,AGT0000814,32
agent_id,AGT0000815,18
agent_id,AGT0000816,27
agent_id,AGT0000817,30
agent_id,AGT0000818,33
agent_id,AGT0000819,21
agent_id,AGT0000820,33
agent_id,AGT0000821,38
agent_id,AGT0000822,25
agent_id,AGT0000823,32
agent_id,AGT0000824,27
agent_id,AGT0000825,21
agent_id,AGT0000826,34
agent_id,AGT0000827,29
agent_id,AGT0000828,40
agent_id,AGT0000829,30
agent_id,AGT0000830,28
agent_id,AGT0000831,21
agent_id,AGT0000832,35
agent_id,AGT0000833,21
agent_id,AGT0000834,33
agent_id,AGT0000835,35
agent_id,AGT0000836,34
agent_id,AGT0000837,40
agent_id,AGT0000838,37
agent_id,AGT0000839,31
agent_id,AGT0000840,28
agent_id,AGT0000841,26
agent_id,AGT0000842,30
agent_id,AGT0000843,47
agent_id,AGT0000844,34
agent_id,AGT0000845,28
agent_id,AGT0000846,30
agent_id,AGT0000847,37
agent_id,AGT0000848,29
agent_id,AGT0000849,40
agent_id,AGT0000850,26
agent_id,AGT0000851,29
agent_id,AGT0000852,25
agent_id,AGT0000853,24
agent_id,AGT0000854,31
agent_id,AGT0000855,25
agent_id,AGT0000856,40
agent_id,AGT0000857,32
agent_id,AGT0000858,33
agent_id,AGT0000859,34
agent_id,AGT0000860,23
agent_id,AGT0000861,28
agent_id,AGT0000862,30
agent_id,AGT0000863,37
agent_id,AGT0000864,24
agent_id,AGT0000865,26
agent_id,AGT0000866,24
agent_id,AGT0000867,32
agent_id,AGT0000868,33
agent_id,AGT0000869,25
agent_id,AGT0000870,36
agent_id,AGT0000871,31
agent_id,AGT0000872,22
agent_id,AGT0000873,29
agent_id,AGT0000874,30
agent_id,AGT0000875,48
agent_id,AGT0000876,46
agent_id,AGT0000877,25
agent_id,AGT0000878,26
agent_id,AGT0000879,33
agent_id,AGT0000880,33
agent_id,AGT0000881,27
agent_id,AGT0000882,32
agent_id,AGT0000883,44
agent_id,AGT0000884,30
agent_id,AGT0000885,33
agent_id,AGT0000886,32
agent_id,AGT0000887,26
agent_id,AGT0000888,29
agent_id,AGT0000889,34
agent_id,AGT0000890,28
agent_id,AGT0000891,26
agent_id,AGT0000892,28
agent_id,AGT0000893,38
agent_id,AGT0000894,30
agent_id,AGT0000895,21
agent_id,AGT0000896,31
agent_id,AGT0000897,30
agent_id,AGT0000898,23
agent_id,AGT0000899,34
agent_id,AGT0000900,28
agent_id,AGT0000901,32
agent_id,AGT0000902,24
agent_id,AGT0000903,28
agent_id,AGT0000904,28
agent_id,AGT0000905,29
agent_id,AGT0000906,17
agent_id,AGT0000907,35
agent_id,AGT0000908,32
agent_id,AGT0000909,24
agent_id,AGT0000910,30
agent_id,AGT0000911,28
agent_id,AGT0000912,41
agent_id,AGT0000913,29
agent_id,AGT0000914,33
agent_id,AGT0000915,26
agent_id,AGT0000916,26
agent_id,AGT0000917,30
agent_id,AGT0000918,31
agent_id,AGT0000919,29
agent_id,AGT0000920,26
agent_id,AGT0000921,38
agent_id,AGT0000922,14
agent_id,AGT0000923,24
agent_id,AGT0000924,34
agent_id,AGT0000925,20
agent_id,AGT0000926,30
agent_id,AGT0000927,26
agent_id,AGT0000928,27
agent_id,AGT0000929,34
agent_id,AGT0000930,26
agent_id,AGT0000931,30
agent_id,AGT0000932,33
agent_id,AGT0000933,34
agent_id,AGT0000934,35
agent_id,AGT0000935,32
agent_id,AGT0000936,35
agent_id,AGT0000937,31
agent_id,AGT0000938,32
agent_id,AGT0000939,29
agent_id,AGT0000940,26
agent_id,AGT0000941,34
agent_id,AGT0000942,26
agent_id,AGT0000943,26
agent_id,AGT0000944,35
agent_id,AGT0000945,30
agent_id,AGT0000946,25
agent_id,AGT0000947,21
agent_id,AGT0000948,33
agent_id,AGT0000949,22
agent_id,AGT0000950,28
agent_id,AGT0000951,39
agent_id,AGT0000952,25
agent_id,AGT0000953,35
agent_id,AGT0000954,34
agent_id,AGT0000955,32
agent_id,AGT0000956,32
agent_id,AGT0000957,33
agent_id,AGT0000958,14
agent_id,AGT0000959,30
agent_id,AGT0000960,27
agent_id,AGT0000961,33
agent_id,AGT0000962,31
agent_id,AGT0000963,42
agent_id,AGT0000964,30
agent_id,AGT0000965,32
agent_id,AGT0000966,39
agent_id,AGT0000967,26
agent_id,AGT0000968,35
agent_id,AGT0000969,36
agent_id,AGT0000970,35
agent_id,AGT0000971,31
agent_id,AGT0000972,27
agent_id,AGT0000973,18
agent_id,AGT0000974,24
agent_id,AGT0000975,44
agent_id,AGT0000976,33
agent_id,AGT0000977,37
agent_id,AGT0000978,35
agent_id,AGT0000979,31
agent_id,AGT0000980,29
agent_id,AGT0000981,30
agent_id,AGT0000982,23
agent_id,AGT0000983,22
agent_id,AGT0000984,39
agent_id,AGT0000985,26
agent_id,AGT0000986,31
agent_id,AGT0000987,27
agent_id,AGT0000988,30
agent_id,AGT0000989,37
agent_id,AGT0000990,26
agent_id,AGT0000991,34
agent_id,AGT0000992,43
agent_id,AGT0000993,27
agent_id,AGT0000994,36
agent_id,AGT0000995,29
agent_id,AGT0000996,26
agent_id,AGT0000997,42
agent_id,AGT0000998,32
