agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,_source_row_number
AGT0000127,EMP00439,Neha Singh,VND0000012,DIGITAL,ACTIVE,2024-12-01 05:37:42,2025-11-28 16:28:33,63
AGT0000670,EMP00522,Amit Kumar,VND0000010,T1,INACTIVE,2025-06-08 14:13:06,2026-07-16 11:19:16,64
AGT0000699,EMP00437,Rahul Verma,VND0000006,FIELD,SUSPENDED,2024-03-23 12:09:29,2026-02-03 00:56:36,65
AGT0000325,EMP01092,Aarav Sharma,VND0000015,FIELD,SUSPENDED,2024-07-25 08:47:42,2026-06-21 22:11:58,66
AGT0000918,EMP00980,Ananya Rao,VND0000010,T1,INACTIVE,2025-04-23 20:16:47,2026-02-11 09:34:38,67
AGT0000544,EMP00440,Rohan Patel,VND0000004,T1,ACTIVE,2025-03-20 19:56:32,2025-07-11 15:05:41,68
AGT0000694,EMP00962,Neha Singh,VND0000009,DIGITAL,ACTIVE,2024-08-27 23:38:53,2026-03-27 22:42:18,69
AGT0000847,EMP00377,Rahul Verma,VND0000005,T3,SUSPENDED,2025-06-30 05:31:15,2025-08-17 11:00:24,70
AGT0000295,EMP00576,Neha Singh,VND0000006,T2,INACTIVE,2024-07-29 10:13:04,2026-07-02 09:59:30,71
AGT0000918,EMP01077,Rahul Verma,VND0000010,T1,INACTIVE,2024-12-06 12:18:45,2025-08-23 23:14:56,72
AGT0000661,EMP00807,Aarav Sharma,VND0000015,FIELD,SUSPENDED,2025-05-28 05:09:17,2025-10-31 12:51:39,73
AGT0000709,EMP00865,Neha Singh,VND0000007,T2,INACTIVE,2024-02-13 04:41:08,2025-10-12 20:53:57,74
AGT0000395,EMP00313,Sneha Das,VND0000007,T1,SUSPENDED,2025-05-30 12:21:21,2025-10-20 22:12:34,75
AGT0000646,EMP00382,Amit Kumar,VND0000009,T2,INACTIVE,2024-11-12 12:03:13,2025-09-14 04:58:22,76
AGT0000084,EMP00141,Priya Mehta,VND0000010,FIELD,SUSPENDED,2024-05-30 02:36:03,2025-10-19 17:07:17,77
AGT0000389,EMP00271,Amit Kumar,VND0000007,FIELD,ACTIVE,2024-10-14 01:40:50,2025-04-26 21:27:34,78
AGT0000645,EMP00791,Aarav Sharma,VND0000012,T1,INACTIVE,2024-11-23 21:37:16,2025-11-30 13:23:39,79
AGT0000810,EMP00995,Aarav Sharma,VND0000004,T2,ACTIVE,2024-08-21 22:27:21,2025-10-21 10:44:58,80
AGT0000286,EMP00857,Neha Singh,VND0000009,T1,SUSPENDED,2024-05-11 13:57:55,2025-08-14 07:16:28,81
AGT0000912,EMP00917,Vikram Shah,VND0000011,FIELD,SUSPENDED,2025-08-19 05:01:54,2026-05-19 14:38:33,82
AGT0000846,EMP00196,Pooja Nair,VND0000011,T2,SUSPENDED,2024-01-30 18:03:00,2025-08-08 07:52:26,83
AGT0000294,EMP00020,Pooja Nair,VND0000010,DIGITAL,INACTIVE,2025-03-29 23:15:21,2025-12-31 16:03:43,84
AGT0000401,EMP00706,Rohan Patel,VND0000014,T2,ACTIVE,2025-08-02 05:12:28,2026-06-24 04:17:48,85
AGT0000936,EMP00049,Rahul Verma,VND0000001,T3,INACTIVE,2024-11-12 07:13:56,2025-03-20 06:45:46,86
AGT0000932,EMP00065,Rohan Patel,VND0000001,T2,SUSPENDED,2024-10-31 07:08:14,2025-11-05 04:10:25,87
AGT0000276,EMP00674,Sneha Das,VND0000013,T1,INACTIVE,2025-11-10 08:07:40,2025-06-13 16:21:58,88
AGT0000250,EMP00351,Pooja Nair,VND0000005,T3,INACTIVE,2024-07-14 14:20:59,2026-05-16 03:35:18,89
AGT0000169,EMP00528,Rohan Patel,VND0000012,T3,ACTIVE,2025-05-19 20:58:05,2026-04-24 06:00:52,90
AGT0000620,EMP00340,Priya Mehta,VND0000012,T1,ACTIVE,2024-02-14 08:53:16,2025-06-26 22:10:52,91
AGT0000762,EMP00926,Vikram Shah,VND0000009,DIGITAL,ACTIVE,2024-10-31 08:05:35,2025-10-02 09:16:35,92
AGT0000330,EMP00678,Rahul Verma,VND0000013,FIELD,SUSPENDED,2025-09-22 07:59:11,2025-03-03 04:48:00,93
AGT0000244,EMP00926,Vikram Shah,VND0000013,T1,INACTIVE,2025-06-23 05:32:13,2025-02-06 04:16:26,94
AGT0000193,EMP00600,Ananya Rao,VND0000008,T2,ACTIVE,2024-01-15 11:43:58,2026-04-24 03:32:46,95
AGT0000970,EMP00418,Rahul Verma,VND0000010,FIELD,INACTIVE,2025-08-24 05:17:24,2026-02-25 08:04:34,96
AGT0000243,EMP00900,Neha Singh,VND0000004,T1,ACTIVE,2025-11-15 20:04:37,2025-08-10 20:42:39,97
AGT0000186,EMP00480,Rohan Patel,VND0000014,T3,INACTIVE,2024-06-13 02:28:21,2025-11-12 01:56:23,98
AGT0000989,EMP00539,Priya Mehta,VND0000011,DIGITAL,SUSPENDED,2025-01-16 21:08:47,2025-11-22 17:15:35,99
AGT0000911,EMP00871,Ananya Rao,VND0000010,DIGITAL,ACTIVE,2024-06-10 03:26:57,2025-05-04 09:17:22,100
AGT0000832,EMP00666,Pooja Nair,VND0000007,T3,ACTIVE,2025-09-23 06:59:49,2025-01-23 07:37:09,101
AGT0000515,EMP00199,Vikram Shah,VND0000002,T1,SUSPENDED,2024-11-10 15:10:36,2025-04-11 02:43:49,102
AGT0000377,EMP00573,Aarav Sharma,VND0000002,T3,ACTIVE,2025-06-28 14:35:49,2026-02-15 07:12:38,103
AGT0000927,EMP00180,Aarav Sharma,VND0000012,T2,INACTIVE,2024-07-17 17:54:30,2025-12-13 06:54:54,104
AGT0000303,EMP00503,Vikram Shah,VND0000006,DIGITAL,INACTIVE,2024-03-19 19:32:21,2026-01-04 13:08:51,105
AGT0000933,EMP00610,Ananya Rao,VND0000007,T1,ACTIVE,2025-03-21 14:46:57,2025-04-11 10:29:41,106
AGT0000644,EMP00560,Rohan Patel,VND0000012,T2,ACTIVE,2025-10-11 10:14:04,2025-12-01 10:19:37,107
AGT0000422,EMP00321,Vikram Shah,VND0000010,T2,SUSPENDED,2025-09-22 09:57:43,2025-07-26 05:18:11,108
AGT0000646,EMP00055,Amit Kumar,VND0000006,T3,INACTIVE,2025-02-12 03:14:12,2025-06-29 21:46:14,109
AGT0000160,EMP00607,Rohan Patel,VND0000014,T2,SUSPENDED,2024-11-19 16:27:13,2025-01-29 04:26:57,110
AGT0000736,EMP00995,Pooja Nair,VND0000005,T3,INACTIVE,2025-10-28 18:50:28,2026-05-24 01:54:41,111
AGT0000250,EMP00818,Vikram Shah,VND0000004,DIGITAL,ACTIVE,2024-04-25 19:13:27,2025-01-13 16:37:49,112
AGT0000787,EMP00302,Amit Kumar,VND0000014,T3,INACTIVE,2025-10-16 10:43:46,2026-06-22 03:28:48,113
AGT0000737,EMP01033,Priya Mehta,VND0000003,T3,ACTIVE,2024-05-13 10:48:26,2026-03-16 14:21:06,114
AGT0000004,EMP00187,Amit Kumar,VND0000004,T2,ACTIVE,2024-06-15 05:36:43,2025-10-21 03:22:08,115
AGT0000800,EMP00676,Pooja Nair,VND0000007,T1,SUSPENDED,2024-05-11 07:09:10,2025-11-15 23:22:35,116
AGT0000865,EMP00431,Rohan Patel,VND0000008,T1,SUSPENDED,2024-11-20 09:24:01,2026-05-14 15:22:10,117
AGT0000451,EMP00150,Ananya Rao,VND0000001,DIGITAL,SUSPENDED,2025-04-01 12:45:12,2026-01-23 05:23:06,118
AGT0000077,EMP00072,Aarav Sharma,VND0000011,FIELD,INACTIVE,2025-04-24 09:33:59,2026-06-11 08:31:03,119
AGT0000950,EMP00030,Ananya Rao,VND0000009,T2,ACTIVE,2024-07-11 19:41:29,2025-08-23 04:14:05,120
AGT0000492,EMP00414,Aarav Sharma,VND0000014,DIGITAL,SUSPENDED,2024-07-12 20:27:27,2025-04-29 00:52:33,121
AGT0000214,EMP00116,Rohan Patel,VND0000002,FIELD,ACTIVE,2024-12-02 16:05:15,2025-08-08 17:07:42,122
AGT0000071,EMP00209,Rohan Patel,VND0000012,FIELD,INACTIVE,2025-10-14 18:00:17,2025-07-05 12:00:29,123
AGT0000590,EMP00533,Sneha Das,VND0000007,T3,ACTIVE,2025-09-03 10:12:14,2026-05-03 18:30:16,124
AGT0000237,EMP00571,Neha Singh,VND0000002,T2,ACTIVE,2024-10-27 21:01:28,2026-06-22 07:50:11,125
AGT0000537,EMP00380,Rohan Patel,VND0000001,DIGITAL,ACTIVE,2025-05-14 06:36:25,2025-08-25 13:19:33,126
AGT0000852,EMP00113,Priya Mehta,VND0000009,DIGITAL,SUSPENDED,2025-07-13 17:50:27,2025-08-05 01:01:10,127
AGT0000695,EMP00731,Neha Singh,VND0000004,T1,SUSPENDED,2024-11-18 18:54:07,2026-04-20 19:48:07,128
AGT0000377,EMP00759,Pooja Nair,VND0000010,T2,INACTIVE,2025-01-25 10:59:48,2025-07-19 18:22:21,129
AGT0000239,EMP00621,Vikram Shah,VND0000008,DIGITAL,INACTIVE,2025-01-06 18:12:08,2026-03-25 09:54:57,130
AGT0000095,EMP01031,Rahul Verma,VND0000004,T3,INACTIVE,2025-02-13 21:01:12,2026-05-19 22:51:50,131
AGT0000410,EMP00137,Amit Kumar,VND0000005,T1,SUSPENDED,2024-01-30 01:24:36,2025-05-17 18:16:33,132
AGT0000656,EMP00721,Ananya Rao,VND0000001,DIGITAL,SUSPENDED,2025-11-26 21:55:24,2025-04-23 15:45:11,133
AGT0000512,EMP00821,Aarav Sharma,VND0000004,T2,SUSPENDED,2024-04-01 02:25:06,2025-05-30 07:37:01,134
AGT0000673,EMP00490,Rahul Verma,VND0000007,T2,ACTIVE,2025-02-05 00:13:51,2025-04-08 19:11:14,135
AGT0000572,EMP00273,Sneha Das,VND0000014,FIELD,SUSPENDED,2025-02-01 04:44:54,2026-06-20 10:55:55,136
AGT0000361,EMP00786,Amit Kumar,VND0000006,T2,SUSPENDED,2025-10-17 21:44:28,2025-02-17 08:24:33,137
AGT0000219,EMP00868,Amit Kumar,VND0000003,DIGITAL,INACTIVE,2025-10-05 14:09:44,2026-05-03 16:04:15,138
AGT0000592,EMP00732,Sneha Das,VND0000009,T3,SUSPENDED,2025-09-15 22:43:56,2025-02-09 06:55:23,139
AGT0000571,EMP01029,Sneha Das,VND0000011,T3,SUSPENDED,2024-11-28 21:40:53,2025-04-03 03:04:58,140
AGT0000975,EMP00201,Pooja Nair,VND0000002,DIGITAL,SUSPENDED,2024-09-02 14:41:20,2025-04-02 06:24:07,141
AGT0000016,EMP00484,Ananya Rao,VND0000014,DIGITAL,ACTIVE,2024-07-18 14:05:35,2025-01-27 22:40:01,142
AGT0000361,EMP00543,Amit Kumar,VND0000001,T1,INACTIVE,2024-09-28 23:43:42,2026-03-09 10:54:31,143
AGT0000439,EMP00218,Rahul Verma,VND0000010,DIGITAL,SUSPENDED,2025-01-24 15:41:47,2025-12-02 16:52:37,144
AGT0000699,EMP00450,Sneha Das,VND0000012,DIGITAL,ACTIVE,2024-05-28 18:30:26,2025-12-23 04:29:39,145
AGT0000724,EMP00558,Rohan Patel,VND0000011,T3,ACTIVE,2024-10-30 05:51:50,2025-08-27 02:20:32,146
AGT0000526,EMP00769,Sneha Das,VND0000009,DIGITAL,ACTIVE,2025-06-04 11:31:10,2025-01-24 23:36:06,147
AGT0000571,EMP00882,Ananya Rao,VND0000011,FIELD,ACTIVE,2024-11-13 22:18:23,2025-06-28 03:45:32,148
AGT0000468,EMP00217,Priya Mehta,VND0000004,T1,INACTIVE,2025-03-18 23:03:36,2025-08-25 05:32:45,149
AGT0000289,EMP00935,Priya Mehta,VND0000009,FIELD,SUSPENDED,2024-09-19 07:02:12,2026-05-01 05:49:52,150
AGT0000374,EMP01071,Priya Mehta,VND0000005,FIELD,SUSPENDED,2024-05-29 15:03:16,2025-10-31 18:01:44,151
AGT0000417,EMP00045,Rohan Patel,VND0000008,FIELD,INACTIVE,2024-05-10 11:55:55,2025-03-30 10:57:50,152
AGT0000717,EMP00289,Vikram Shah,VND0000003,T3,ACTIVE,2025-02-18 01:00:25,2025-12-21 09:57:11,153
AGT0000030,EMP00343,Priya Mehta,VND0000002,T2,INACTIVE,2024-01-04 21:50:52,2025-09-12 13:56:40,154
AGT0000469,EMP00828,Vikram Shah,VND0000006,DIGITAL,INACTIVE,2025-04-18 09:08:30,2025-06-13 16:25:27,155
AGT0000485,EMP00599,Aarav Sharma,VND0000009,T2,SUSPENDED,2024-02-28 10:56:14,2025-04-09 18:54:30,156
AGT0000856,EMP00370,Amit Kumar,VND0000002,T2,INACTIVE,2024-06-23 00:55:06,2025-04-20 17:06:22,157
AGT0000130,EMP00953,Rahul Verma,VND0000008,DIGITAL,SUSPENDED,2025-10-26 17:06:11,2026-07-23 17:32:32,158
AGT0000839,EMP00120,Amit Kumar,VND0000015,T2,ACTIVE,2024-07-31 06:01:47,2025-08-23 07:24:52,159
AGT0000714,EMP01059,Amit Kumar,VND0000010,T2,INACTIVE,2024-05-19 00:15:53,2026-07-29 21:08:00,160
AGT0000492,EMP00792,Rohan Patel,VND0000012,DIGITAL,SUSPENDED,2025-01-02 01:45:53,2025-10-22 03:58:04,161
AGT0000373,EMP00605,Priya Mehta,VND0000015,FIELD,SUSPENDED,2024-07-01 21:10:40,2025-09-03 00:06:14,162
AGT0000236,EMP00686,Aarav Sharma,VND0000002,FIELD,ACTIVE,2024-10-13 07:24:49,2026-07-13 17:28:31,163
AGT0000139,EMP00458,Neha Singh,VND0000013,T2,SUSPENDED,2024-03-13 16:08:45,2025-09-26 13:10:09,164
AGT0000222,EMP00177,Priya Mehta,VND0000015,T1,ACTIVE,2024-06-08 11:04:50,2026-05-08 07:56:03,165
AGT0000107,EMP00171,Sneha Das,VND0000009,FIELD,ACTIVE,2024-12-07 14:33:40,2025-11-21 01:22:41,166
AGT0000053,EMP00251,Vikram Shah,VND0000015,T3,ACTIVE,2024-01-18 15:19:07,2026-07-07 12:14:53,167
AGT0000398,EMP00700,Neha Singh,VND0000006,T2,ACTIVE,2024-04-15 12:48:02,2025-10-29 03:03:52,168
AGT0000122,EMP00782,Rohan Patel,VND0000015,T3,ACTIVE,2024-11-12 18:47:36,2025-06-28 09:31:07,169
AGT0000486,EMP00381,Rahul Verma,VND0000005,T3,SUSPENDED,2025-04-28 11:39:26,2025-02-18 18:50:09,170
AGT0000105,EMP00482,Rahul Verma,VND0000012,DIGITAL,SUSPENDED,2025-11-15 09:24:29,2026-05-02 14:56:08,171
AGT0000485,EMP00200,Sneha Das,VND0000002,DIGITAL,INACTIVE,2024-05-26 02:22:23,2025-12-26 06:43:43,172
AGT0000726,EMP00406,Ananya Rao,VND0000009,FIELD,SUSPENDED,2024-12-21 03:40:33,2026-06-03 08:39:37,173
AGT0000312,EMP01031,Amit Kumar,VND0000006,DIGITAL,SUSPENDED,2024-06-26 20:07:31,2025-01-20 19:11:29,174
AGT0000731,EMP00792,Priya Mehta,VND0000015,FIELD,ACTIVE,2024-02-14 01:02:01,2025-06-16 23:40:05,175
AGT0000577,EMP00698,Ananya Rao,VND0000009,T2,SUSPENDED,2025-03-05 02:31:33,2026-06-12 00:21:20,176
AGT0000752,EMP00265,Pooja Nair,VND0000005,T3,INACTIVE,2024-01-19 01:56:08,2026-04-27 19:31:32,177
AGT0000392,EMP00733,Rahul Verma,VND0000003,T3,SUSPENDED,2024-05-10 01:26:45,2026-04-01 19:18:05,178
AGT0000919,EMP00788,Amit Kumar,VND0000007,T1,ACTIVE,2024-07-27 02:58:41,2026-07-08 09:41:19,179
AGT0000482,EMP01040,Ananya Rao,VND0000004,T1,ACTIVE,2024-03-19 07:39:46,2025-04-11 16:45:30,180
AGT0000867,EMP00399,Rohan Patel,VND0000008,T2,INACTIVE,2024-12-03 03:39:54,2025-03-29 04:55:25,181
AGT0000161,EMP00448,Sneha Das,VND0000010,T2,SUSPENDED,2025-06-14 21:06:44,2026-02-25 00:57:10,182
AGT0000636,EMP00576,Rahul Verma,VND0000015,T2,INACTIVE,2024-12-27 05:30:39,2025-01-21 15:19:14,183
AGT0000941,EMP00745,Neha Singh,VND0000007,T1,SUSPENDED,2024-10-31 18:38:20,2025-08-04 00:32:27,184
AGT0000635,EMP00793,Sneha Das,VND0000004,T3,INACTIVE,2024-07-12 05:48:38,2025-07-21 19:58:13,185
AGT0000611,EMP00910,Aarav Sharma,VND0000009,FIELD,SUSPENDED,2024-06-28 15:15:42,2026-06-01 03:23:28,186
AGT0000467,EMP00881,Pooja Nair,VND0000014,DIGITAL,SUSPENDED,2024-02-26 10:10:13,2025-12-13 07:39:41,187
AGT0000613,EMP00860,Pooja Nair,VND0000005,FIELD,INACTIVE,2024-06-03 17:56:13,2025-10-22 19:01:43,188
AGT0000926,EMP00822,Neha Singh,VND0000012,T1,INACTIVE,2024-05-19 05:52:08,2025-07-04 00:41:48,189
AGT0000182,EMP00354,Rahul Verma,VND0000002,T3,INACTIVE,2025-01-17 22:14:51,2025-06-20 08:11:38,190
AGT0000843,EMP00040,Rohan Patel,VND0000012,DIGITAL,SUSPENDED,2025-01-22 14:33:36,2025-06-08 17:34:16,191
AGT0000807,EMP00533,Sneha Das,VND0000004,T3,ACTIVE,2024-03-08 10:49:47,2025-08-10 07:50:41,192
AGT0000241,EMP00907,Amit Kumar,VND0000008,T2,ACTIVE,2025-11-23 19:44:49,2026-08-03 08:46:16,193
AGT0000994,EMP00506,Amit Kumar,VND0000011,DIGITAL,INACTIVE,2024-10-22 15:41:13,2026-05-10 01:37:34,194
AGT0000202,EMP00970,Ananya Rao,VND0000009,T2,INACTIVE,2024-02-14 15:16:09,2025-05-16 22:33:24,195
AGT0000480,EMP00950,Amit Kumar,VND0000015,FIELD,ACTIVE,2025-01-22 01:26:01,2026-04-20 14:58:04,196
AGT0000282,EMP00745,Priya Mehta,VND0000011,T1,SUSPENDED,2025-06-09 13:35:06,2026-05-27 19:26:42,197
AGT0000983,EMP00392,Aarav Sharma,VND0000002,T2,ACTIVE,2024-08-15 17:56:32,2026-06-04 16:42:51,198
AGT0000382,EMP00535,Priya Mehta,VND0000008,T1,ACTIVE,2024-11-13 17:46:10,2025-04-23 09:19:05,199
AGT0000131,EMP00497,Pooja Nair,VND0000010,DIGITAL,INACTIVE,2025-09-03 22:08:00,2026-07-02 14:55:56,200
AGT0000026,EMP00120,Vikram Shah,VND0000012,FIELD,SUSPENDED,2025-05-28 07:46:57,2025-12-14 15:48:21,201
AGT0000847,EMP00619,Amit Kumar,VND0000012,T1,INACTIVE,2025-02-03 04:27:49,2025-04-16 14:44:32,202
AGT0000952,EMP00274,Priya Mehta,VND0000001,FIELD,ACTIVE,2024-06-27 15:35:48,2025-08-10 19:18:16,203
AGT0000130,EMP00935,Vikram Shah,VND0000011,T2,INACTIVE,2024-09-06 12:34:29,2026-05-31 19:07:40,204
AGT0000594,EMP00841,Rohan Patel,VND0000006,T1,INACTIVE,2024-10-16 21:59:32,2025-04-18 08:27:49,205
AGT0000857,EMP00945,Aarav Sharma,VND0000010,DIGITAL,SUSPENDED,2024-12-01 07:37:55,2026-07-10 23:52:25,206
AGT0000852,EMP00286,Vikram Shah,VND0000004,FIELD,INACTIVE,2024-12-14 09:20:48,2026-07-26 00:01:44,207
AGT0000710,EMP00112,Aarav Sharma,VND0000003,T3,INACTIVE,2024-07-06 04:48:54,2025-10-29 14:07:26,208
AGT0000073,EMP00350,Priya Mehta,VND0000010,DIGITAL,SUSPENDED,2025-09-30 16:34:29,2025-08-13 14:52:29,209
